genus,species,frankland,palm,keppel,hervey,distribution
Acanthastrea,Acanthastrea echinata,1,1,1,1,Qld
Acanthastrea,Acanthastrea hemprichi,1,1,1,0,GBR
Acanthastrea,Acanthastrea lordhowensis,1,1,1,1,Qld
Acanthastrea,Acanthastrea regularis,1,1,1,0,GBR
Acanthastrea,Acanthastrea rotundoflora,1,1,1,0,GBR
Acropora,Acropora abrolhosensis,1,1,0,0,GBR
Acropora,Acropora abrotanoides,1,1,1,1,Qld
Acropora,Acropora aculeus,1,1,1,1,Qld
Acropora,Acropora acuminata,1,1,1,1,Qld
Acropora,Acropora anthocercis,1,1,1,1,Qld
Acropora,Acropora aspera,1,1,1,1,Qld
Acropora,Acropora austera,1,1,1,1,Qld
Acropora,Acropora azurea,1,1,1,0,GBR
Acropora,Acropora bushyensis,1,1,1,1,Qld
Acropora,Acropora cardenae,1,1,1,0,GBR
Acropora,Acropora carduus,1,1,1,0,GBR
Acropora,Acropora caroliniana,1,1,1,1,Qld
Acropora,Acropora cerealis,1,1,1,1,Qld
Acropora,Acropora chesterfieldensis,1,1,1,0,Qld
Acropora,Acropora clathrata,1,1,1,1,Qld
Acropora,Acropora cytherea,1,1,1,1,Qld
Acropora,Acropora dendrum,1,1,1,1,Qld
Acropora,Acropora digitifera,1,1,1,1,Qld
Acropora,Acropora divaricata,1,1,1,1,Qld
Acropora,Acropora donei,1,1,1,1,Qld
Acropora,Acropora echinata,1,1,1,0,Qld
Acropora,Acropora elseyi,1,1,0,0,N GBR
Acropora,Acropora fastigata,1,1,1,0,Qld
Acropora,Acropora florida,1,1,1,1,Qld
Acropora,Acropora gemmifera,1,1,1,1,Qld
Acropora,Acropora glauca,1,1,1,1,Qld
Acropora,Acropora grandis,1,1,1,1,Qld
Acropora,Acropora granulosa,1,1,1,1,Qld
Acropora,Acropora horrida,1,1,1,1,Qld
Acropora,Acropora humilis,1,1,1,1,Qld
Acropora,Acropora hyacinthus,1,1,1,1,Qld
Acropora,Acropora intermedia,1,1,1,1,Qld
Acropora,Acropora kimbeensis,1,1,1,0,GBR
Acropora,Acropora kirstyae,1,1,1,0,GBR
