observation_id,access,user_id,specie_id,specie_name,major_clade,family_molecules,family_morphology,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
91773,1,54,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99500,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,29.25917688,raw_value,,,,,
131,1,1,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,40,,127,41,Zooxanthellate,10,cat,22,Derived from textual description,zooxanthellate,expert_opinion,"","","","",
130,1,2,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,40,48,126,40,Ocean basin,10,cat,9,Derived from range map,pacific,expert_opinion,"","","","",
107676,1,2,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,122123,104,Coloniality,10,cat,22,Derived from textual description,colonial,expert_opinion,"","","","",""
91775,1,54,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99502,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-28.39133524,raw_value,,,,,
110915,1,2,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125362,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,submassive,expert_opinion,"","","","",""
91772,1,54,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99499,166,Western-most range edge,4,deg,10,Calculated from GIS shapefile,33.0761026,raw_value,,,,,
91776,1,54,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99503,165,Eastern-most range edge,4,deg,10,Calculated from GIS shapefile,157.07587275,raw_value,,,,,
114637,1,2,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,57,48,135024,8,Sexual system,10,cat,58,Observation_field_or_laboratory,hermaphrodite,raw_value,,,,,
91777,1,54,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99504,166,Western-most range edge,4,deg,10,Calculated from GIS shapefile,26.9928024,raw_value,,,,,
91778,1,54,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99505,167,Northern-most range edge,3,deg,10,Calculated from GIS shapefile,36.03063196,raw_value,,,,,
156602,1,2,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,500,"Tiao-Shi, Nanwan, Kenting, Taiwan",21.957822,120.766646,73,,199404,11,Oocyte size at maturity,39,µm,14,Dissection,443,mean,43,standard_deviation,,5,
91780,1,54,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99507,168,Southern-most range edge,3,deg,10,Calculated from GIS shapefile,-36.54160431,raw_value,,,,,
