"","estimate","std. error","z","p","reVar"
"tax_novel",-4.14779222667745,4.30194290650469,1.95056846224783,2.84850924502792,0
"tax_novel.1",0.244442422196837,0.60768031839517,1.08206342783847,0.695696480016038,0
"tax_novel.2",-16.9683813038698,7.07928622382529,1.80263782331529,4.09447126275851,0
"tax_novel.3",1.40758773114824e-64,1.4489883442872e-12,0.0714451128266482,4.23132888808657e-05,0
"tax_instant",-3.63852557768268,1.15361861627673,3.63852592513927,-25.3811040460526,0
"tax_instant.1",0.191450393544269,1.05829432209165,0.660797437334822,535141.323494919,0
"tax_instant.2",-19.0050566641502,1.09007351943142,5.50626518742937,-4.74287873720775e-05,0
"tax_instant.3",1.54878677123696e-80,0.275680759939413,3.6652628197066e-08,0.999962157302832,0
"tax_cumul",-3.86497302540035,2.34866581330581,1.4964717498556,2.37727032617362,0.519112277537829
"tax_cumul.1",0.315178219097831,0.828173836737929,1.08621580919079,0.713049859142852,0.519112277537829
"tax_cumul.2",-12.2628176415981,2.83595751171868,1.37769284629583,3.33394684213431,0.519112277537829
"tax_cumul.3",1.43424553293203e-34,0.00456885237603575,0.168298140974757,0.000856230196728582,0.519112277537829
"fun_novel",-5.91546251462062,4.75581166339375,2.35950537492885,3.20180631966102,0.142428704403054
"fun_novel.1",0.644205274821512,0.728841212364954,1.16886391410919,0.96094676695939,0.142428704403054
"fun_novel.2",-9.18257385622867,6.52516842174995,2.01863137910889,3.33192891609606,0.142428704403054
"fun_novel.3",4.20908234492051e-20,6.79251646312967e-11,0.0435255470575875,0.000862462827127701,0.142428704403054
"fun_instant",-5.84161018036871,2.54577331438976,4.08375226281687,2.40762297614079,2.80259692864963e-45
"fun_instant.1",0.57820122427946,1.17105332259321,0.754188411325711,1.16900099594723,2.80259692864963e-45
"fun_instant.2",-10.1030747343165,2.17391750253723,5.41476400524168,2.05955596657974,2.80259692864963e-45
"fun_instant.3",5.35367711641549e-24,0.0297113313491396,6.1369593070856e-08,0.0394410094550595,2.80259692864963e-45
"fun_cumul",-5.13979438551114,2.80395038987004,-14.9176624197685,2.55658212638066,0.491147953382309
"fun_cumul.1",0.532317336165233,0.725368539933487,228.974741415962,0.729096747420538,0.491147953382309
"fun_cumul.2",-9.65550816461805,3.86555279903255,-0.0651498166457961,3.50650600955986,0.491147953382309
"fun_cumul.3",4.65843880078388e-22,0.000110837866872284,0.948054716702948,0.000454031183826509,0.491147953382309
